path,locality_id,data_format
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206101_3.csv,3-13-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206102_3.csv,1-7-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206103_3.csv,4-15-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206104_3.csv,3-12-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206105_3.csv,4-15-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206106_4.csv,1-9-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206107_3.csv,3-12-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206108_3.csv,1-4-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206109_3.csv,2-1-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206110_3.csv,1-9-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206111_3.csv,3-3-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206112_3.csv,3-14-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206113_3.csv,2-17-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206114_3.csv,2-1-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206115_3.csv,2-10-con-a,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206116_3.csv,2-10-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206117_2.csv,2-20-war-,TOMST
/home/andrea/Dropbox/Chirripo/data/micromet data/datos TOMST sensors/2023-07-21 datos julio 2023/2022-06-11 datos junio 2022/data_94206118_3.csv,2-17-con-a,TOMST
